timestamp,job,manifest,exit_code,duration_seconds
"2026-03-06T14:20:38","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sa1_Si1-\particle_forward_medianbg_mean\job_manifest.json",0,208
"2026-03-06T14:39:23","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sa1_Si2\particle_forward_medianbg_mean\job_manifest.json",0,1126
"2026-03-06T15:03:03","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S1\particle_forward_medianbg_mean\job_manifest.json",0,1420
"2026-03-06T15:12:37","particle_forward_flatten_fixed0","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_flatten_fixed0\job_manifest.json",0,574
"2026-03-06T15:17:21","particle_forward_flatten_max_fixed0_p95","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_flatten_max_fixed0_p95\job_manifest.json",0,284
"2026-03-06T15:20:38","particle_forward_flatten_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_flatten_mean\job_manifest.json",0,196
"2026-03-06T15:25:17","particle_forward_flatten_p95","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_flatten_p95\job_manifest.json",0,280
"2026-03-06T15:28:30","particle_forward_medianbg_fixed0","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_medianbg_fixed0\job_manifest.json",0,193
"2026-03-06T15:33:15","particle_forward_medianbg_max_fixed0_p95","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_medianbg_max_fixed0_p95\job_manifest.json",0,285
"2026-03-06T15:36:28","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_medianbg_mean\job_manifest.json",0,192
"2026-03-06T15:41:27","particle_forward_medianbg_p95","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_medianbg_p95\job_manifest.json",0,299
"2026-03-06T15:43:33","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam01_S2\particle_forward_medianbg_mean\job_manifest.json",0,126
"2026-03-06T15:47:17","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam02_S1\particle_forward_medianbg_mean\job_manifest.json",0,224
"2026-03-06T15:48:31","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam02_S2\particle_forward_medianbg_mean\job_manifest.json",0,74
"2026-03-06T15:53:16","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S1\particle_forward_medianbg_mean\job_manifest.json",0,285
"2026-03-06T15:57:09","particle_forward_flatten_fixed0","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S2\particle_forward_flatten_fixed0\job_manifest.json",0,234
"2026-03-06T16:02:25","particle_forward_flatten_max_fixed0_p95","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S2\particle_forward_flatten_max_fixed0_p95\job_manifest.json",0,316
"2026-03-06T16:06:13","particle_forward_flatten_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S2\particle_forward_flatten_mean\job_manifest.json",0,227
"2026-03-06T16:11:28","particle_forward_flatten_p95","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S2\particle_forward_flatten_p95\job_manifest.json",0,315
"2026-03-06T16:15:19","particle_forward_medianbg_fixed0","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S2\particle_forward_medianbg_fixed0\job_manifest.json",0,231
"2026-03-06T16:21:16","particle_forward_medianbg_max_fixed0_p95","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S2\particle_forward_medianbg_max_fixed0_p95\job_manifest.json",0,357
"2026-03-06T16:25:50","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S2\particle_forward_medianbg_mean\job_manifest.json",0,274
"2026-03-06T16:31:21","particle_forward_medianbg_p95","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt25_20260304_145519\PEGDA_SiNP\PEGDA1TPO25SiNP_Sam03_S2\particle_forward_medianbg_p95\job_manifest.json",0,331
