timestamp,status,sample,job,manifest,message
"2026-03-06T13:53:15","start","PEGDA1TPO10SiNP_Sa1_Si1-","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sa1_Si1-\particle_forward_medianbg_mean\job_manifest.json","launched"
"2026-03-06T14:15:58","start","PEGDA1TPO10SiNP_Sa1_Si1-","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sa1_Si1-\particle_forward_medianbg_mean\job_manifest.json","launched"
"2026-03-06T14:17:10","start","PEGDA1TPO10SiNP_Sa1_Si1-","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sa1_Si1-\particle_forward_medianbg_mean\job_manifest.json","launched"
"2026-03-06T14:20:38","done","PEGDA1TPO10SiNP_Sa1_Si1-","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sa1_Si1-\particle_forward_medianbg_mean\job_manifest.json","duration=208s"
"2026-03-06T14:20:38","start","PEGDA1TPO10SiNP_Sa1_Si2","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sa1_Si2\particle_forward_medianbg_mean\job_manifest.json","launched"
"2026-03-06T14:39:23","done","PEGDA1TPO10SiNP_Sa1_Si2","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sa1_Si2\particle_forward_medianbg_mean\job_manifest.json","duration=1126s"
"2026-03-06T14:39:23","start","PEGDA1TPO10SiNP_Sam02_S1","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S1\particle_forward_medianbg_mean\job_manifest.json","launched"
"2026-03-06T15:03:03","done","PEGDA1TPO10SiNP_Sam02_S1","particle_forward_medianbg_mean","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S1\particle_forward_medianbg_mean\job_manifest.json","duration=1420s"
"2026-03-06T15:03:03","start","PEGDA1TPO10SiNP_Sam02_S2","particle_forward_flatten_fixed0","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_flatten_fixed0\job_manifest.json","launched"
"2026-03-06T15:12:37","done","PEGDA1TPO10SiNP_Sam02_S2","particle_forward_flatten_fixed0","C:\Users\Conor O'Brien\Dropbox\03_AML\00 IN-BOX\AFM Topo Particle processing OUT\run_grains_full_wt10_20260304_145519\PEGDA_SiNP\PEGDA1TPO10SiNP_Sam02_S2\particle_forward_flatten_fixed0\job_manifest.json","duration=574s"
