source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID001_LOC_RC001001-5.00x5.00-Z Height_Forward-251001-CRO_ba51b389.tiff,particle_count_align_medianbg_mean,particle_count,5,183,5,5,468.77647264458955,72.95946480353848,3.975441340559819e-10,mean,4,350.0,550.0,900.0,512,512,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID002_LOC_RC001002-5.00x5.00-Z Height_Forward-251001-CRO_193472e3.tiff,particle_count_align_medianbg_mean,particle_count,8,374,8,5,429.2456700726094,50.76017948154523,6.135255881593395e-10,mean,2,350.0,550.0,900.0,512,512,0,1
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,particle_count_align_medianbg_mean,particle_count,6,119,6,4,439.94828536281005,48.220460424169055,-4.218790567604814e-10,mean,6,350.0,550.0,900.0,512,512,0,4
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,particle_count_align_medianbg_mean,particle_count,16,93,16,2,428.1470219504279,58.932453687209325,-9.02782698597569e-10,mean,4,350.0,550.0,900.0,512,512,0,5
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,particle_count_align_medianbg_mean,particle_count,2,135,2,2,423.3448980653976,51.126423558597054,-9.54418685262883e-10,mean,2,350.0,550.0,900.0,512,512,0,9
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,particle_count_align_medianbg_mean,particle_count,16,417,16,3,448.12082469764044,60.94215797622811,3.223306056324342e-10,mean,4,350.0,550.0,900.0,512,512,0,10
PEGDA01TPO10SiNPSam02_S2_P__GrID007_LOC_RC001012-5.00x5.00-Z Height_Forward-251001-CRO_d81f5c11.tiff,particle_count_align_medianbg_mean,particle_count,13,414,13,7,421.42058709132897,59.84147717330425,1.6758019422582186e-10,mean,5,350.0,550.0,900.0,512,512,0,11
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,particle_count_align_medianbg_mean,particle_count,2,232,2,2,418.6763516198572,53.87168960447187,-1.967244022460388e-10,mean,1,350.0,550.0,900.0,512,512,0,19
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,particle_count_align_medianbg_mean,particle_count,1,197,1,1,468.4186509279074,0.0,2.647452872586636e-10,mean,1,350.0,550.0,900.0,512,512,0,20
PEGDA01TPO10SiNPSam02_S2_P__GrID010_LOC_RC002001-5.00x5.00-Z Height_Forward-251001-CRO_6df84bcd.tiff,particle_count_align_medianbg_mean,particle_count,0,319,0,0,0.0,0.0,-1.6604792010362e-11,mean,1,350.0,550.0,900.0,512,512,1,0
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,particle_count_align_medianbg_mean,particle_count,6,457,6,6,443.661223103104,47.98623673428063,8.84321083697097e-10,mean,2,350.0,550.0,900.0,512,512,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,particle_count_align_medianbg_mean,particle_count,19,339,19,3,420.6020047429428,50.03450025089905,4.1391441002293195e-10,mean,4,350.0,550.0,900.0,512,512,1,9
PEGDA01TPO10SiNPSam02_S2_P__GrID013_LOC_RC002011-5.00x5.00-Z Height_Forward-251001-CRO_5bc78f2b.tiff,particle_count_align_medianbg_mean,particle_count,16,483,16,6,433.70427049419845,41.64528889301718,6.149933936187476e-10,mean,1,350.0,550.0,900.0,512,512,1,10
PEGDA01TPO10SiNPSam02_S2_P__GrID014_LOC_RC002012-5.00x5.00-Z Height_Forward-251001-CRO_bd43a6f3.tiff,particle_count_align_medianbg_mean,particle_count,17,297,17,3,421.6176980194037,59.567974042835104,3.067777083272382e-10,mean,1,350.0,550.0,900.0,512,512,1,11
PEGDA01TPO10SiNPSam02_S2_P__GrID015_LOC_RC002020-5.00x5.00-Z Height_Forward-251001-CRO_a30dd2dc.tiff,particle_count_align_medianbg_mean,particle_count,1,575,1,1,388.0305731555082,0.0,-1.2856522273913486e-09,mean,1,350.0,550.0,900.0,512,512,1,19
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,particle_count_align_medianbg_mean,particle_count,3,145,3,1,451.8259625888033,42.796814142470126,-2.3261628998888606e-10,mean,1,350.0,550.0,900.0,512,512,1,20
PEGDA01TPO10SiNPSam02_S2_P__GrID017_LOC_RC004008-5.00x5.00-Z Height_Forward-251001-CRO_71e2e715.tiff,particle_count_align_medianbg_mean,particle_count,4,694,4,1,402.7889586210469,37.98346643987668,9.427496143775207e-10,mean,1,350.0,550.0,900.0,512,512,3,7
PEGDA01TPO10SiNPSam02_S2_P__GrID018_LOC_RC004014-5.00x5.00-Z Height_Forward-251001-CRO_65fad1e3.tiff,particle_count_align_medianbg_mean,particle_count,20,319,20,6,420.31140891920097,53.648763966441464,6.434656581495078e-10,mean,3,350.0,550.0,900.0,512,512,3,13
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,particle_count_align_medianbg_mean,particle_count,5,142,5,0,441.3379824844348,40.18117458835494,-5.722468660014664e-10,mean,1,350.0,550.0,900.0,512,512,4,0
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,particle_count_align_medianbg_mean,particle_count,3,237,3,1,390.4724454415362,21.13188039501011,1.424448115379481e-10,mean,0,350.0,550.0,900.0,512,512,4,4
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,particle_count_align_medianbg_mean,particle_count,0,303,0,0,0.0,0.0,-5.791143755287488e-10,mean,1,350.0,550.0,900.0,512,512,4,5
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,particle_count_align_medianbg_mean,particle_count,16,1628,16,2,430.1205305569391,60.068365832444755,2.648164355486099e-10,mean,2,350.0,550.0,900.0,512,512,4,15
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,particle_count_align_medianbg_mean,particle_count,7,222,7,5,429.8039630325776,36.192491880287534,-6.441303220797703e-10,mean,1,350.0,550.0,900.0,512,512,4,16
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,particle_count_align_medianbg_mean,particle_count,10,1049,10,3,453.8204703022895,49.49457232907318,7.663200048549652e-10,mean,3,350.0,550.0,900.0,512,512,4,20
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,particle_count_align_medianbg_mean,particle_count,13,304,13,6,436.93061233515476,51.87219903381305,5.589976369872719e-10,mean,4,350.0,550.0,900.0,512,512,5,0
PEGDA01TPO10SiNPSam02_S2_P__GrID026_LOC_RC006005-5.00x5.00-Z Height_Forward-251001-CRO_c8eae2a9.tiff,particle_count_align_medianbg_mean,particle_count,1,322,1,1,372.05532811522147,0.0,-4.2469075945456846e-10,mean,3,350.0,550.0,900.0,512,512,5,4
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,particle_count_align_medianbg_mean,particle_count,1,260,1,1,437.59358762537454,0.0,-2.0945235376156275e-09,mean,3,350.0,550.0,900.0,512,512,5,5
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,particle_count_align_medianbg_mean,particle_count,15,933,15,5,448.3571202823729,51.370996714844374,2.537274387379921e-10,mean,1,350.0,550.0,900.0,512,512,5,9
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,particle_count_align_medianbg_mean,particle_count,6,422,6,6,463.2323039257679,59.1285354042726,-1.243878558611556e-10,mean,0,350.0,550.0,900.0,512,512,5,10
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,particle_count_align_medianbg_mean,particle_count,11,1343,11,5,428.12668621465184,56.72071479341484,1.3102313654597674e-09,mean,1,350.0,550.0,900.0,512,512,5,11
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,particle_count_align_medianbg_mean,particle_count,17,290,17,3,440.6881771037338,57.1008134334646,9.069016186597208e-10,mean,1,350.0,550.0,900.0,512,512,5,15
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,particle_count_align_medianbg_mean,particle_count,16,659,16,1,425.88707862140615,41.593013984181724,1.982137522203826e-10,mean,4,350.0,550.0,900.0,512,512,5,16
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,particle_count_align_medianbg_mean,particle_count,18,377,18,2,437.39155423053325,52.668155176648,8.0323701268146e-10,mean,4,350.0,550.0,900.0,512,512,5,20
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,particle_count_align_medianbg_mean,particle_count,20,514,20,3,428.93178643819766,49.234233733178755,8.071629909165354e-10,mean,3,350.0,550.0,900.0,512,512,7,3
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,particle_count_align_medianbg_mean,particle_count,11,1274,11,8,431.506727225173,71.66275627073452,-9.584192726656656e-11,mean,3,350.0,550.0,900.0,512,512,7,7
