source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,5.642544888950951e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,4,5
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,particle_count_align_flatten_p95,particle_count,0,5,0,0,0.0,0.0,1.435736403706232e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,4,15
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,particle_count_align_flatten_p95,particle_count,0,12,0,0,0.0,0.0,2.464438230697471e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,4,16
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,3.19772143672952e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,4,20
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,particle_count_align_flatten_p95,particle_count,0,4,0,0,0.0,0.0,2.7384039707571324e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,5,0
PEGDA01TPO10SiNPSam02_S2_P__GrID026_LOC_RC006005-5.00x5.00-Z Height_Forward-251001-CRO_c8eae2a9.tiff,particle_count_align_flatten_p95,particle_count,0,2,0,0,0.0,0.0,5.783510654923544e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,5,4
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,particle_count_align_flatten_p95,particle_count,0,2,0,0,0.0,0.0,1.2038613589515863e-06,percentile(95.0),0,350.0,550.0,900.0,512,512,5,5
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,1.8802055177471198e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,5,9
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,particle_count_align_flatten_p95,particle_count,0,2,0,0,0.0,0.0,2.5906671382793716e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,5,10
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,particle_count_align_flatten_p95,particle_count,0,6,0,0,0.0,0.0,1.8486010555679413e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,5,11
