source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,nx,ny,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Forward-251020-CRO_15528fe2.tiff,Modulus,Forward,2,251020,modulus_gwy_stats,modulus,50182462.223576725,31445621.717189237,kPa,249691,512,512,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Forward-251021-CRO_42cadbb7.tiff,Modulus,Forward,0,251021,modulus_gwy_stats,modulus,211354726.92997748,179838487.29423624,kPa,242148,512,512,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Forward-251021-CRO_699a7ca0.tiff,Modulus,Forward,1,251021,modulus_gwy_stats,modulus,107998348.54426378,97974863.01485436,kPa,244799,512,512,0,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Forward-251022-CRO_5dfb071f.tiff,Modulus,Forward,2,251022,modulus_gwy_stats,modulus,38898812.09383559,23660809.178077944,kPa,260090,512,512,0,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Forward-251022-CRO_92313101.tiff,Modulus,Forward,3,251022,modulus_gwy_stats,modulus,50560283.31729295,60877452.069495,kPa,251421,512,512,0,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Forward-251022-CRO_e2bf8848.tiff,Modulus,Forward,4,251022,modulus_gwy_stats,modulus,37989208.882947944,11937580.391055679,kPa,261605,512,512,0,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Forward-251027-CRO_3bd306b4.tiff,Modulus,Forward,5,251027,modulus_gwy_stats,modulus,313243032.4427837,92822967.28209752,kPa,260532,512,512,0,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Forward-251027-CRO_6ddca865.tiff,Modulus,Forward,6,251027,modulus_gwy_stats,modulus,325190574.7660439,64340815.03378484,kPa,256591,512,512,0,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Forward-251027-CRO_55d101ce.tiff,Modulus,Forward,7,251027,modulus_gwy_stats,modulus,109599484.57691438,43814402.95610814,kPa,253816,512,512,0,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Forward-251027-CRO_d4be9843.tiff,Modulus,Forward,8,251027,modulus_gwy_stats,modulus,1344416694.4796703,162019886.9927789,kPa,8378,512,512,0,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID009_LOC_RC001017-5.00x5.00-Modulus_Forward-251027-CRO_4abe3562.tiff,Modulus,Forward,9,251027,modulus_gwy_stats,modulus,54610108.92998969,50015134.63422422,kPa,257690,512,512,0,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID010_LOC_RC001020-5.00x5.00-Modulus_Forward-251027-CRO_7cf2b3a6.tiff,Modulus,Forward,10,251027,modulus_gwy_stats,modulus,76943183.82049735,45357840.33616085,kPa,252876,512,512,0,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID011_LOC_RC001021-5.00x5.00-Modulus_Forward-251027-CRO_ceef7a05.tiff,Modulus,Forward,11,251027,modulus_gwy_stats,modulus,478467999.21431386,319122553.2706219,kPa,245819,512,512,0,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID012_LOC_RC002001-5.00x5.00-Modulus_Forward-251028-CRO_87e12f62.tiff,Modulus,Forward,12,251028,modulus_gwy_stats,modulus,37788469.79875943,8594292.652850257,kPa,262139,512,512,1,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID013_LOC_RC002002-5.00x5.00-Modulus_Forward-251028-CRO_a79b35c8.tiff,Modulus,Forward,13,251028,modulus_gwy_stats,modulus,134051135.28125194,47027043.11617046,kPa,252190,512,512,1,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID014_LOC_RC002010-5.00x5.00-Modulus_Forward-251028-CRO_2fbca0a7.tiff,Modulus,Forward,14,251028,modulus_gwy_stats,modulus,2470324580.4976506,1861460455.1890044,kPa,5319,512,512,1,9
