method,row_idx,col_idx,avg_forward,avg_backward,delta_avg,ratio_avg,std_forward,std_backward,n_valid_forward,n_valid_backward,delta_n_valid
gwy_stats,0,0,211354726.92997748,461329662.4886299,249974935.5586524,2.1827269689665845,179838487.29423624,316596842.0228053,242148,248309,6161
gwy_stats,0,1,107998348.54426378,243772452.92408404,135774104.37982026,2.2571868571135827,97974863.01485436,103050421.85317595,244799,251530,6731
gwy_stats,0,4,38898812.09383559,38665880.4842709,-232931.60956469178,0.9940118580227388,23660809.178077944,23680059.89118217,260090,260116,26
gwy_stats,0,5,50560283.31729295,190172115.17819604,139611831.86090308,3.7612944924529756,60877452.069495,132557351.94491833,251421,259388,7967
gwy_stats,0,9,313243032.4427837,799152334.5658671,485909302.12308335,2.5512214216986244,92822967.28209752,51919423.70674996,260532,259442,-1090
gwy_stats,0,10,325190574.7660439,414826761.0015459,89636186.235502,1.2756420179151569,64340815.03378484,65546866.879461706,256591,259236,2645
gwy_stats,0,11,109599484.57691438,402077019.8471838,292477535.27026945,3.6686032000909226,43814402.95610814,60786257.82286129,253816,259979,6163
gwy_stats,0,16,54610108.92998969,46584977.063463815,-8025131.866525874,0.8530467705747645,50015134.63422422,33415876.239848003,257690,256933,-757
gwy_stats,0,19,76943183.82049735,66715122.77253098,-10228061.047966368,0.8670699529171074,45357840.33616085,38351986.95138783,252876,252892,16
gwy_stats,0,20,478467999.21431386,2756309485.349634,2277841486.13532,5.760697663951893,319122553.2706219,499955774.57489794,245819,1534,-244285
gwy_stats,1,0,37788469.79875943,37864292.965015434,75823.16625600308,1.0020065159203269,8594292.652850257,8514277.238804698,262139,262142,3
gwy_stats,1,1,134051135.28125194,69247803.52144204,-64803331.7598099,0.5165775237647455,47027043.11617046,40859043.88024975,252190,245494,-6696
gwy_stats,1,9,2470324580.4976506,1174970045.3414779,-1295354535.1561728,0.47563387200915047,1861460455.1890044,641487426.2698466,5319,42121,36802
gwy_stats,1,10,37238985.25236385,37946921.48675707,707936.2343932167,1.0190106209821677,13475607.535250243,12287451.020476932,260941,261061,120
gwy_stats,1,11,63574567.525007136,50729727.336910695,-12844840.188096441,0.797956310390253,28044067.91820621,30030187.04421712,255885,252414,-3471
gwy_stats,1,19,40515136.33464782,42124396.97058869,1609260.6359408721,1.0397199857023476,18279377.20674194,19605609.48839984,259699,258588,-1111
gwy_stats,1,20,33311794.4954594,33306819.16827648,-4975.327182918787,0.9998506436756628,7613344.834644517,7468969.232504184,262144,262144,0
gwy_stats,2,13,128780334.7976673,133627427.86891407,4847093.071246773,1.0376384568254327,76073969.52399455,76245267.74666539,246033,245421,-612
gwy_stats,4,0,476043722.9554889,67144538.40755445,-408899184.5479345,0.1410469987729102,72408182.88727114,47321694.244171955,257769,250852,-6917
gwy_stats,4,4,588651934.0700958,178463466.26605657,-410188467.80403924,0.3031731587665274,256949964.67746982,84884338.66493239,258496,248307,-10189
gwy_stats,4,15,35051849.69096463,35165645.59605502,113795.90509039164,1.0032465021416466,10835861.005543275,10703474.540712407,262144,262139,-5
gwy_stats,4,16,118824690.29598334,178326138.67893875,59501448.3829554,1.5007498713839842,53321264.893061414,51383655.54375611,250778,253580,2802
gwy_stats,5,0,199042421.7764259,448910290.9971384,249867869.22071248,2.25534982437752,106881770.80069306,109511444.21195766,250043,256571,6528
gwy_stats,5,4,520271056.54406583,110643482.84215587,-409627573.70190996,0.2126650741963475,68525807.66053396,82066380.52036366,259474,244851,-14623
gwy_stats,5,5,174425639.48166648,1248730986.3791668,1074305346.8975003,7.159102240301194,69341405.65760162,135752613.98870498,246182,7875,-238307
gwy_stats,5,9,118667077.75300743,94579690.41794364,-24087387.335063785,0.7970171020373565,52072278.066198334,50534796.426505126,252724,248583,-4141
gwy_stats,5,10,67305162.60012044,60983125.49823252,-6322037.101887919,0.9060690613073921,42698550.70118914,32878445.250598483,253985,253123,-862
gwy_stats,5,11,70913457.20695688,47936256.797157794,-22977200.409799084,0.6759825100228658,38105561.48921705,40626729.24879841,259251,251478,-7773
gwy_stats,5,15,64257102.04295625,46769897.26472232,-17487204.77823393,0.7278556887526046,31495496.53634843,32302481.16049332,257708,254505,-3203
