method,n_pairs,mean_ratio_avg,median_ratio_avg,mean_delta_avg,median_delta_avg,delta_avg_min,delta_avg_max,mean_delta_n_valid,delta_n_min,delta_n_max
gwy_stats,99,2.1813578206241107,0.9998506436756628,-800431767.4077299,-4975.327182918787,-81241391203.89229,9018269147.5732,-4318.656565656565,-254373,256947
gwy_ops_py_stats,99,1.4183413158577602,1.0010587690235688,4562056.451698027,37303.71975078434,-766999000.597983,682035014.4834403,-4318.656565656565,-254373,256947
raw_minmax,99,1.4183413158577602,1.0010587690235688,4562056.451698027,37303.71975078434,-766999000.597983,682035014.4834403,-4318.656565656565,-254373,256947
raw_chauvenet,91,1.4194691025536617,0.9998278551200416,-4069160.474919298,-5677.791097085923,-858807818.9907241,705782331.7873408,-8176.472527472528,-244559,256947
raw_three_sigma,88,1.4244924038507791,1.0005088184144877,2604056.3920254437,17858.74568565935,-767161896.2113103,683812122.6935331,-11255.954545454546,-244285,256887
