source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,nx,ny,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Backward-251020-CRO_70406af4.tiff,Modulus,Backward,2,251020,modulus_gwy_stats,modulus,219606233.12040418,81439532.04843561,kPa,254447,512,512,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO_b28496ed.tiff,Modulus,Backward,0,251021,modulus_gwy_stats,modulus,461329662.4886299,316596842.0228053,kPa,248309,512,512,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO_ed44e1e6.tiff,Modulus,Backward,1,251021,modulus_gwy_stats,modulus,243772452.92408404,103050421.85317595,kPa,251530,512,512,0,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Backward-251022-CRO_7bbf51d1.tiff,Modulus,Backward,2,251022,modulus_gwy_stats,modulus,38665880.4842709,23680059.89118217,kPa,260116,512,512,0,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Backward-251022-CRO_f4227f94.tiff,Modulus,Backward,3,251022,modulus_gwy_stats,modulus,190172115.17819604,132557351.94491833,kPa,259388,512,512,0,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Backward-251022-CRO_db9df3ac.tiff,Modulus,Backward,4,251022,modulus_gwy_stats,modulus,37934747.39273153,11872192.642251823,kPa,261824,512,512,0,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Backward-251027-CRO_c131d681.tiff,Modulus,Backward,5,251027,modulus_gwy_stats,modulus,799152334.5658671,51919423.70674996,kPa,259442,512,512,0,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Backward-251027-CRO_e03beb00.tiff,Modulus,Backward,6,251027,modulus_gwy_stats,modulus,414826761.0015459,65546866.879461706,kPa,259236,512,512,0,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Backward-251027-CRO_f614ff0f.tiff,Modulus,Backward,7,251027,modulus_gwy_stats,modulus,402077019.8471838,60786257.82286129,kPa,259979,512,512,0,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Backward-251027-CRO_132e35ef.tiff,Modulus,Backward,8,251027,modulus_gwy_stats,modulus,nan,nan,kPa,0,512,512,0,15
