source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,particle_count_align_flatten_mean,particle_count,0,69,0,0,0.0,0.0,2.3555992287771e-08,mean,0,350.0,550.0,900.0,512,512,4,15
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,particle_count_align_flatten_mean,particle_count,2,25,2,2,375.4778021740914,13.178122834612083,2.3439077270245422e-08,mean,2,350.0,550.0,900.0,512,512,4,16
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,particle_count_align_flatten_mean,particle_count,3,11,3,1,420.6509031171842,23.1635087869896,9.514216139389517e-08,mean,1,350.0,550.0,900.0,512,512,4,20
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,particle_count_align_flatten_mean,particle_count,1,11,1,1,431.44573491933005,0.0,3.719585129539138e-08,mean,0,350.0,550.0,900.0,512,512,5,0
PEGDA01TPO10SiNPSam02_S2_P__GrID026_LOC_RC006005-5.00x5.00-Z Height_Forward-251001-CRO_c8eae2a9.tiff,particle_count_align_flatten_mean,particle_count,2,5,2,2,377.2776271745954,21.402810124846866,1.1063695873458851e-07,mean,0,350.0,550.0,900.0,512,512,5,4
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,particle_count_align_flatten_mean,particle_count,0,4,0,0,0.0,0.0,1.2037956781844195e-07,mean,0,350.0,550.0,900.0,512,512,5,5
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,particle_count_align_flatten_mean,particle_count,0,12,0,0,0.0,0.0,2.363362648249773e-08,mean,0,350.0,550.0,900.0,512,512,5,9
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,particle_count_align_flatten_mean,particle_count,1,25,1,1,390.0593010191821,0.0,3.3582764444823e-08,mean,0,350.0,550.0,900.0,512,512,5,10
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,particle_count_align_flatten_mean,particle_count,0,40,0,0,0.0,0.0,3.402977308894019e-08,mean,1,350.0,550.0,900.0,512,512,5,11
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,particle_count_align_flatten_mean,particle_count,1,17,1,1,427.06115374439764,0.0,2.3771488962180358e-08,mean,0,350.0,550.0,900.0,512,512,5,15
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,particle_count_align_flatten_mean,particle_count,1,66,1,1,471.00376244995556,0.0,1.179298081269111e-08,mean,0,350.0,550.0,900.0,512,512,5,16
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,particle_count_align_flatten_mean,particle_count,2,70,2,2,486.5639884749994,61.64064802542373,7.103560917818128e-09,mean,1,350.0,550.0,900.0,512,512,5,20
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,particle_count_align_flatten_mean,particle_count,1,29,1,1,477.0236333228299,0.0,2.7336668968701516e-08,mean,0,350.0,550.0,900.0,512,512,7,3
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,particle_count_align_flatten_mean,particle_count,0,33,0,0,0.0,0.0,2.997572795391466e-08,mean,0,350.0,550.0,900.0,512,512,7,7
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,particle_count_align_flatten_mean,particle_count,3,33,3,3,481.9754537536134,26.746215872948895,6.806089291521401e-08,mean,1,350.0,550.0,900.0,512,512,7,13
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,particle_count_align_flatten_mean,particle_count,3,24,3,3,462.32149875493656,14.515956396316527,1.6137458846625595e-08,mean,2,350.0,550.0,900.0,512,512,9,0
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,particle_count_align_flatten_mean,particle_count,0,1,0,0,0.0,0.0,4.327568282786548e-08,mean,0,350.0,550.0,900.0,512,512,9,1
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,particle_count_align_flatten_mean,particle_count,0,59,0,0,0.0,0.0,8.91641525065303e-09,mean,0,350.0,550.0,900.0,512,512,9,5
