source_file,mode,avg_value,std_value,units,n_valid,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO_aligned.tiff,modulus_mask_thr_0,7.52523643233978e-05,0.004955113429443913,kPa,46346,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO_filtered.tiff,modulus_mask_thr_0,0.019903650360755597,0.021933596259721546,kPa,170080,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO_leveled.tiff,modulus_mask_thr_0,2.9932463305227527e-05,0.0036701922532285766,kPa,84403,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO_mask.tiff,modulus_mask_thr_0,0.012728182080104582,0.04912176495144606,kPa,94832,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO_aligned.tiff,modulus_mask_thr_0,0.008185487297226563,0.05134367293899493,kPa,616,0,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO_filtered.tiff,modulus_mask_thr_0,0.024528747782907874,0.03176907958186716,kPa,174184,0,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO_leveled.tiff,modulus_mask_thr_0,4.263936078123939e-05,0.004722984549461178,kPa,74268,0,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO_mask.tiff,modulus_mask_thr_0,0.03472864692212898,0.11104917006911459,kPa,79510,0,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Backward-251020-CRO_aligned.tiff,modulus_mask_thr_0,2.9828927854378236e-05,0.004417266054228214,kPa,51246,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Backward-251020-CRO_filtered.tiff,modulus_mask_thr_0,0.021762060401567633,0.027518396222012787,kPa,189941,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Backward-251020-CRO_leveled.tiff,modulus_mask_thr_0,1.9864240709283806e-05,0.0036943351410924264,kPa,73669,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Backward-251020-CRO_mask.tiff,modulus_mask_thr_0,0.010773214118541282,0.04298309585907067,kPa,70519,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Backward-251022-CRO_filtered.tiff,modulus_mask_thr_0,0.14517122153112177,0.21078090746981765,kPa,55594,0,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Backward-251022-CRO_leveled.tiff,modulus_mask_thr_0,0.003670669097998064,0.00919001163612762,kPa,17045,0,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Backward-251022-CRO_mask.tiff,modulus_mask_thr_0,0.14517122153112177,0.21078090746981765,kPa,55594,0,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Backward-251022-CRO_filtered.tiff,modulus_mask_thr_0,0.013480915591153808,0.05119862006562776,kPa,92518,0,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Backward-251022-CRO_leveled.tiff,modulus_mask_thr_0,2.664064876320109e-05,0.0037861997094907887,kPa,85813,0,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Backward-251022-CRO_mask.tiff,modulus_mask_thr_0,0.013480915591153808,0.05119862006562776,kPa,92518,0,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Backward-251027-CRO_aligned.tiff,modulus_mask_thr_0,3.187697673988807e-05,0.0051917167654828645,kPa,37124,0,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Backward-251027-CRO_filtered.tiff,modulus_mask_thr_0,0.027440168231427725,0.03990833165126768,kPa,178212,0,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Backward-251027-CRO_leveled.tiff,modulus_mask_thr_0,2.8194614793842393e-05,0.005110224820733693,kPa,38299,0,10
