method,n_pairs,mean_ratio_avg,median_ratio_avg,mean_delta_avg,median_delta_avg,delta_avg_min,delta_avg_max,mean_delta_n_valid,delta_n_min,delta_n_max
gwy_stats,105,nan,0.09840642262614943,nan,-4634388504.040015,-81241391203.89229,9018269147.5732,-6610.866666666667,-257623,256947
gwy_ops_py_stats,105,nan,0.3421998017328517,nan,-334275455.78963685,-766999000.597983,682035014.4834403,-6610.866666666667,-257623,256947
raw_minmax,105,nan,0.3421998017328517,nan,-334275455.78963685,-766999000.597983,682035014.4834403,-6610.866666666667,-257623,256947
raw_chauvenet,105,nan,nan,nan,nan,-858807818.9907241,705782331.7873408,-6588.190476190476,-256385,256947
raw_three_sigma,105,nan,nan,nan,nan,-767161896.2113103,683812122.6935331,-6563.361904761905,-254857,256887
