source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID011_LOC_RC001021-5.00x5.00-Modulus_Backward-251027-CRO_1a1d5848.tiff,Modulus,Backward,11,251027,modulus_raw_three_sigma,modulus,570033400.9100715,274411962.40394616,kPa,1534,0,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID012_LOC_RC002001-5.00x5.00-Modulus_Backward-251028-CRO_f9f6e61c.tiff,Modulus,Backward,12,251028,modulus_raw_three_sigma,modulus,37382587.761686906,5934563.987118001,kPa,259328,1,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID013_LOC_RC002002-5.00x5.00-Modulus_Backward-251028-CRO_b5c1a689.tiff,Modulus,Backward,13,251028,modulus_raw_three_sigma,modulus,67605183.73312481,24211581.030332033,kPa,244702,1,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID014_LOC_RC002010-5.00x5.00-Modulus_Backward-251028-CRO_c47e5654.tiff,Modulus,Backward,14,251028,modulus_raw_three_sigma,modulus,678086623.7961329,261195582.7540163,kPa,42121,1,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID015_LOC_RC002011-5.00x5.00-Modulus_Backward-251028-CRO_baeefa9a.tiff,Modulus,Backward,15,251028,modulus_raw_three_sigma,modulus,37215112.10671898,8019453.032286879,kPa,258819,1,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID016_LOC_RC002012-5.00x5.00-Modulus_Backward-251028-CRO_04074076.tiff,Modulus,Backward,16,251028,modulus_raw_three_sigma,modulus,48823003.50238788,15021981.878975162,kPa,250381,1,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID017_LOC_RC002020-5.00x5.00-Modulus_Backward-251028-CRO_622c386a.tiff,Modulus,Backward,17,251028,modulus_raw_three_sigma,modulus,40594460.80122826,11673374.382183064,kPa,255055,1,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID018_LOC_RC002021-5.00x5.00-Modulus_Backward-251028-CRO_dc455bee.tiff,Modulus,Backward,18,251028,modulus_raw_three_sigma,modulus,32736166.050454453,5579541.904149814,kPa,258118,1,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID019_LOC_RC003008-5.00x5.00-Modulus_Backward-251028-CRO_1253b746.tiff,Modulus,Backward,19,251028,modulus_raw_three_sigma,modulus,nan,nan,kPa,0,2,7
PEGDA01TPO000SiNP_Sam01_S1_P__GrID020_LOC_RC003014-5.00x5.00-Modulus_Backward-251028-CRO_5e8cfd64.tiff,Modulus,Backward,20,251028,modulus_raw_three_sigma,modulus,130275678.22022796,49112236.26203064,kPa,244554,2,13
PEGDA01TPO000SiNP_Sam01_S1_P__GrID021_LOC_RC005001-5.00x5.00-Modulus_Backward-251028-CRO_b62dc46b.tiff,Modulus,Backward,21,251028,modulus_raw_three_sigma,modulus,63766941.90028404,24754363.71869063,kPa,248448,4,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID022_LOC_RC005005-5.00x5.00-Modulus_Backward-251028-CRO_197891c8.tiff,Modulus,Backward,22,251028,modulus_raw_three_sigma,modulus,175917142.05939817,59348983.19188386,kPa,247986,4,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID023_LOC_RC005006-5.00x5.00-Modulus_Backward-251028-CRO_211fd865.tiff,Modulus,Backward,23,251028,modulus_raw_three_sigma,modulus,nan,nan,kPa,0,4,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID024_LOC_RC005016-5.00x5.00-Modulus_Backward-251028-CRO_6ccfa220.tiff,Modulus,Backward,24,251028,modulus_raw_three_sigma,modulus,34022076.925032414,5794598.471670484,kPa,257147,4,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID025_LOC_RC005017-5.00x5.00-Modulus_Backward-251029-CRO_0147ead6.tiff,Modulus,Backward,25,251029,modulus_raw_three_sigma,modulus,176479495.25264904,37385812.770371504,kPa,252630,4,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID026_LOC_RC006001-5.00x5.00-Modulus_Backward-251029-CRO_c5d55fbc.tiff,Modulus,Backward,26,251029,modulus_raw_three_sigma,modulus,446090640.37453973,80254546.47678769,kPa,256571,5,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID027_LOC_RC006005-5.00x5.00-Modulus_Backward-251029-CRO_f225bd9c.tiff,Modulus,Backward,27,251029,modulus_raw_three_sigma,modulus,108098992.60390237,47417111.87669702,kPa,244624,5,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID028_LOC_RC006006-5.00x5.00-Modulus_Backward-251029-CRO_8fc9e36d.tiff,Modulus,Backward,28,251029,modulus_raw_three_sigma,modulus,632385743.43312,247790369.61740246,kPa,7875,5,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID029_LOC_RC006010-5.00x5.00-Modulus_Backward-251029-CRO_d0566188.tiff,Modulus,Backward,29,251029,modulus_raw_three_sigma,modulus,92148352.88240701,35946852.510197915,kPa,247142,5,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID030_LOC_RC006011-5.00x5.00-Modulus_Backward-251029-CRO_238ec1b5.tiff,Modulus,Backward,30,251029,modulus_raw_three_sigma,modulus,59885321.508291714,20307921.562826775,kPa,252484,5,10
