source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,nx,ny,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID021_LOC_RC005001-5.00x5.00-Modulus_Forward-251028-CRO_b8eb5047.tiff,Modulus,Forward,21,251028,modulus_gwy_ops_py_stats,modulus,474459606.11869806,56771064.35343017,kPa,257769,512,512,4,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID022_LOC_RC005005-5.00x5.00-Modulus_Forward-251028-CRO_f85418cc.tiff,Modulus,Forward,22,251028,modulus_gwy_ops_py_stats,modulus,579561317.4191424,86839633.46281262,kPa,258496,512,512,4,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID023_LOC_RC005006-5.00x5.00-Modulus_Forward-251028-CRO_99dd8aa9.tiff,Modulus,Forward,23,251028,modulus_gwy_ops_py_stats,modulus,34707244.193028525,17924757.978076957,kPa,257623,512,512,4,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID024_LOC_RC005016-5.00x5.00-Modulus_Forward-251028-CRO_4c7f6754.tiff,Modulus,Forward,24,251028,modulus_gwy_ops_py_stats,modulus,35051849.69096366,10835861.00554326,kPa,262144,512,512,4,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID025_LOC_RC005017-5.00x5.00-Modulus_Forward-251029-CRO_71d730cd.tiff,Modulus,Forward,25,251029,modulus_gwy_ops_py_stats,modulus,118285280.50467888,43739994.30401723,kPa,250778,512,512,4,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID026_LOC_RC006001-5.00x5.00-Modulus_Forward-251029-CRO_19b97620.tiff,Modulus,Forward,26,251029,modulus_gwy_ops_py_stats,modulus,195782657.21818802,66139233.75354355,kPa,250043,512,512,5,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID027_LOC_RC006005-5.00x5.00-Modulus_Forward-251029-CRO_65827272.tiff,Modulus,Forward,27,251029,modulus_gwy_ops_py_stats,modulus,519014846.4836427,60343124.948764205,kPa,259474,512,512,5,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID028_LOC_RC006006-5.00x5.00-Modulus_Forward-251029-CRO_f7b37854.tiff,Modulus,Forward,28,251029,modulus_gwy_ops_py_stats,modulus,173537903.66528165,54880933.357855484,kPa,246182,512,512,5,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID029_LOC_RC006010-5.00x5.00-Modulus_Forward-251029-CRO_2d1516ab.tiff,Modulus,Forward,29,251029,modulus_gwy_ops_py_stats,modulus,118475447.36012505,49890348.426921606,kPa,252724,512,512,5,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID030_LOC_RC006011-5.00x5.00-Modulus_Forward-251029-CRO_cbd5349d.tiff,Modulus,Forward,30,251029,modulus_gwy_ops_py_stats,modulus,66952864.33479641,28177015.898334213,kPa,253985,512,512,5,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID031_LOC_RC006012-5.00x5.00-Modulus_Forward-251029-CRO_780230d1.tiff,Modulus,Forward,31,251029,modulus_gwy_ops_py_stats,modulus,70688599.12917672,33201776.22245041,kPa,259251,512,512,5,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID032_LOC_RC006016-5.00x5.00-Modulus_Forward-251029-CRO_279d38c1.tiff,Modulus,Forward,32,251029,modulus_gwy_ops_py_stats,modulus,64067518.59331336,26890647.836158607,kPa,257708,512,512,5,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID033_LOC_RC006017-5.00x5.00-Modulus_Forward-251029-CRO_1c85eb82.tiff,Modulus,Forward,33,251029,modulus_gwy_ops_py_stats,modulus,51663852.2385943,23556605.095854737,kPa,257689,512,512,5,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID034_LOC_RC006021-5.00x5.00-Modulus_Forward-251029-CRO_a47f1ee9.tiff,Modulus,Forward,34,251029,modulus_gwy_ops_py_stats,modulus,45599005.14488779,23621280.378649402,kPa,256170,512,512,5,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID035_LOC_RC007003-5.00x5.00-Modulus_Forward-251029-CRO_73728af3.tiff,Modulus,Forward,35,251029,modulus_gwy_ops_py_stats,modulus,145798567.1600802,71322445.4895474,kPa,238971,512,512,6,2
PEGDA01TPO000SiNP_Sam01_S1_P__GrID036_LOC_RC007021-5.00x5.00-Modulus_Forward-251029-CRO_519c474e.tiff,Modulus,Forward,36,251029,modulus_gwy_ops_py_stats,modulus,718657548.6440941,146824592.05620506,kPa,243019,512,512,6,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID037_LOC_RC008008-5.00x5.00-Modulus_Forward-251030-CRO_cf2e5e36.tiff,Modulus,Forward,37,251030,modulus_gwy_ops_py_stats,modulus,290710781.0453996,89755262.54847987,kPa,244078,512,512,7,7
PEGDA01TPO000SiNP_Sam01_S1_P__GrID038_LOC_RC008014-5.00x5.00-Modulus_Forward-251030-CRO_62a47149.tiff,Modulus,Forward,38,251030,modulus_gwy_ops_py_stats,modulus,565565857.287144,75393591.59741698,kPa,247720,512,512,7,13
PEGDA01TPO000SiNP_Sam01_S1_P__GrID039_LOC_RC008019-5.00x5.00-Modulus_Forward-251030-CRO_02bc5eb2.tiff,Modulus,Forward,39,251030,modulus_gwy_ops_py_stats,modulus,98225848.8746334,42578608.26208713,kPa,247763,512,512,7,18
PEGDA01TPO000SiNP_Sam01_S1_P__GrID040_LOC_RC010001-5.00x5.00-Modulus_Forward-251030-CRO_29afc0c1.tiff,Modulus,Forward,40,251030,modulus_gwy_ops_py_stats,modulus,140870506.3198654,56572684.732116155,kPa,245505,512,512,9,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID041_LOC_RC010002-5.00x5.00-Modulus_Forward-251030-CRO_ea9725b9.tiff,Modulus,Forward,41,251030,modulus_gwy_ops_py_stats,modulus,60002080.224260084,31353255.43897749,kPa,256890,512,512,9,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID042_LOC_RC010006-5.00x5.00-Modulus_Forward-251030-CRO_07867a5a.tiff,Modulus,Forward,42,251030,modulus_gwy_ops_py_stats,modulus,39812666.60075913,19762411.521707326,kPa,259332,512,512,9,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID043_LOC_RC010010-5.00x5.00-Modulus_Forward-251030-CRO_52df9fd1.tiff,Modulus,Forward,43,251030,modulus_gwy_ops_py_stats,modulus,42396419.72468619,22954509.512701236,kPa,258828,512,512,9,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID044_LOC_RC010011-5.00x5.00-Modulus_Forward-251030-CRO_799a61c5.tiff,Modulus,Forward,44,251030,modulus_gwy_ops_py_stats,modulus,62374724.0790014,37768347.13151217,kPa,249143,512,512,9,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID045_LOC_RC010012-5.00x5.00-Modulus_Forward-251030-CRO_9bae1474.tiff,Modulus,Forward,45,251030,modulus_gwy_ops_py_stats,modulus,459954867.22901917,0.0,kPa,2,512,512,9,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID046_LOC_RC010016-5.00x5.00-Modulus_Forward-251030-CRO_971bd3a0.tiff,Modulus,Forward,46,251030,modulus_gwy_ops_py_stats,modulus,146277396.37700564,30663245.840779237,kPa,253289,512,512,9,15
