source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,75,2,2,440.72951906664673,6.198984977886056,1.9746519790768162e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,4,0
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,121,1,1,497.70291731024554,0.0,2.1042325164785368e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,4,4
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,168,1,1,360.6200241210169,0.0,1.1036612060452123e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,4,5
PEGDA01TPO10SiNPSam02_S2_P__GrID022_LOC_RC005016-5.00x5.00-Z Height_Forward-251001-CRO_cfeea2a4.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,157,1,1,433.83136946196066,0.0,1.0497964220865126e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,4,15
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,92,2,2,373.5723618547449,14.301715802099181,3.1149958770797736e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,4,16
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,4,67,4,4,396.938803069012,24.421535564420065,2.0835489428061058e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,4,20
PEGDA01TPO10SiNPSam02_S2_P__GrID025_LOC_RC006001-5.00x5.00-Z Height_Forward-251001-CRO_c67ebcff.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,85,0,0,0.0,0.0,1.6283502057464967e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,5,0
PEGDA01TPO10SiNPSam02_S2_P__GrID026_LOC_RC006005-5.00x5.00-Z Height_Forward-251001-CRO_c8eae2a9.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,97,2,2,375.840337709864,4.765394244993246,2.0702134835172622e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,5,4
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,154,2,2,392.59268985351457,23.815446149362316,4.476260129916211e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,5,5
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,60,2,2,364.5742689466536,6.82775694704884,1.0028708138769675e-08,"max(mean,fixed,p95.0)",1,350.0,550.0,900.0,512,512,5,9
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,140,1,1,388.65592500870343,0.0,1.799693649009111e-08,"max(mean,fixed,p95.0)",1,350.0,550.0,900.0,512,512,5,10
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,82,3,3,422.5638294898076,46.49253753088862,1.7135147521833823e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,5,11
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,86,3,3,421.1637584797474,37.416910861942156,1.2970955407178018e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,5,15
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,71,2,2,365.1099755408232,14.21747998399809,2.9165177261567163e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,5,16
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,66,1,1,386.77683620071514,0.0,2.021648214136629e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,5,20
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,4,46,4,2,415.2695684512805,37.0393141949734,1.8827556957584616e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,7,3
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,91,2,2,461.4521565154953,54.93005192830631,1.2300037677024435e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,7,7
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,176,1,1,365.1373612746974,0.0,4.802412047959603e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,7,13
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,65,3,3,407.25305540420095,42.82151429869847,8.592685819578791e-09,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,9,0
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,169,1,1,482.0877203977514,0.0,5.828463679783416e-09,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,9,1
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,43,1,1,350.0263068854585,0.0,1.3203806429031894e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,9,5
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,75,2,2,458.52559782722653,24.69422836526587,1.269670350756049e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,9,9
