source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID001_LOC_RC001001-5.00x5.00-Z Height_Forward-251001-CRO_ba51b389.tiff,particle_count_align_medianbg_fixed0,particle_count,4,131,4,4,428.36156018596205,72.95998088344106,0.0,fixed(threshold_fixed),4,350.0,550.0,900.0,512,512,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID002_LOC_RC001002-5.00x5.00-Z Height_Forward-251001-CRO_193472e3.tiff,particle_count_align_medianbg_fixed0,particle_count,7,356,7,2,447.059365759916,60.9638450651017,0.0,fixed(threshold_fixed),3,350.0,550.0,900.0,512,512,0,1
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,particle_count_align_medianbg_fixed0,particle_count,7,128,7,5,425.00300087152704,53.02655495635404,0.0,fixed(threshold_fixed),6,350.0,550.0,900.0,512,512,0,4
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,particle_count_align_medianbg_fixed0,particle_count,17,108,17,2,422.5890176079449,55.16001266533724,0.0,fixed(threshold_fixed),3,350.0,550.0,900.0,512,512,0,5
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,particle_count_align_medianbg_fixed0,particle_count,3,165,3,3,423.2927552163863,41.80149992381103,0.0,fixed(threshold_fixed),3,350.0,550.0,900.0,512,512,0,9
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,particle_count_align_medianbg_fixed0,particle_count,10,340,10,2,440.2192045913196,53.892090763196656,0.0,fixed(threshold_fixed),2,350.0,550.0,900.0,512,512,0,10
PEGDA01TPO10SiNPSam02_S2_P__GrID007_LOC_RC001012-5.00x5.00-Z Height_Forward-251001-CRO_d81f5c11.tiff,particle_count_align_medianbg_fixed0,particle_count,10,346,10,4,399.3021851484199,23.669782690177236,0.0,fixed(threshold_fixed),4,350.0,550.0,900.0,512,512,0,11
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,particle_count_align_medianbg_fixed0,particle_count,2,249,2,2,416.38674186673984,53.584682328451805,0.0,fixed(threshold_fixed),1,350.0,550.0,900.0,512,512,0,19
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,particle_count_align_medianbg_fixed0,particle_count,1,173,1,1,481.33150390020444,0.0,0.0,fixed(threshold_fixed),1,350.0,550.0,900.0,512,512,0,20
PEGDA01TPO10SiNPSam02_S2_P__GrID010_LOC_RC002001-5.00x5.00-Z Height_Forward-251001-CRO_6df84bcd.tiff,particle_count_align_medianbg_fixed0,particle_count,2,404,2,2,469.2385673308847,54.73018005601949,0.0,fixed(threshold_fixed),2,350.0,550.0,900.0,512,512,1,0
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,particle_count_align_medianbg_fixed0,particle_count,4,428,4,4,433.38086346288446,48.619441313438486,0.0,fixed(threshold_fixed),3,350.0,550.0,900.0,512,512,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,particle_count_align_medianbg_fixed0,particle_count,16,254,16,3,401.0053763103654,42.41137831941381,0.0,fixed(threshold_fixed),5,350.0,550.0,900.0,512,512,1,9
