source_file,row_idx,col_idx,baseline_method,avg__baseline,std__baseline,n_valid__baseline,units__baseline,avg__backward_methods,std__backward_methods,n_valid__backward_methods,units__backward_methods,delta_avg__backward_methods,ratio_avg__backward_methods,delta_std__backward_methods,ratio_std__backward_methods,delta_n_valid__backward_methods,ratio_n_valid__backward_methods
PEGDA01TPO000SiNP_Sam01_S1_P__GrID069_LOC_RC014014-5.00x5.00-Modulus_Backward-251101-CRO_d47b1701.tiff,13,13,gwyddion_only,38353537.93417353,15341894.014940167,260584,kPa,38349406.62895708,15196283.529130427,260584,kPa,-4131.3052164539695,0.9998922835952306,-145610.48580973968,0.9905089628654753,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID070_LOC_RC014019-5.00x5.00-Modulus_Backward-251101-CRO_3965c473.tiff,13,18,gwyddion_only,79552930.18723205,56789529.451388806,248279,kPa,78590970.7805967,44374883.563844286,248279,kPa,-961959.406635344,0.9879079324372927,-12414645.88754452,0.7813919923712114,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID071_LOC_RC016001-5.00x5.00-Modulus_Backward-251101-CRO_fff4ad04.tiff,15,0,gwyddion_only,69157821.57716359,47105793.95992785,250729,kPa,68597441.59107397,38710681.3829412,250729,kPa,-560379.986089617,0.9918970844756241,-8395112.576986648,0.8217817412412529,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID072_LOC_RC016005-5.00x5.00-Modulus_Backward-251101-CRO_d553c811.tiff,15,4,gwyddion_only,49602870.41566886,29483235.63754844,257539,kPa,49464594.65449993,26435432.859662842,257539,kPa,-138275.76116892695,0.997212343559754,-3047802.777885597,0.8966259058078394,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID073_LOC_RC016006-5.00x5.00-Modulus_Backward-251101-CRO_127ea445.tiff,15,5,gwyddion_only,68546554.95368783,47618298.47781855,251131,kPa,68267863.5228584,42318307.82443754,251131,kPa,-278691.4308294356,0.9959342751649922,-5299990.653381012,0.8886984452867454,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID074_LOC_RC016010-5.00x5.00-Modulus_Backward-251101-CRO_a0c9fbee.tiff,15,9,gwyddion_only,473203282.1292555,275214926.71289116,244446,kPa,456757987.07436615,112737232.49276763,244446,kPa,-16445295.054889321,0.9652468702649504,-162477694.22012353,0.40963342300970834,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID075_LOC_RC016011-5.00x5.00-Modulus_Backward-251101-CRO_d1009cff.tiff,15,10,gwyddion_only,38052537.14476545,12162319.396684542,262144,kPa,38052537.14476538,12162319.396684434,262144,kPa,-7.450580596923828e-08,0.999999999999998,-1.0803341865539551e-07,0.9999999999999911,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID076_LOC_RC016012-5.00x5.00-Modulus_Backward-251102-CRO_be40d91a.tiff,15,11,gwyddion_only,44723159.56976888,18172178.895714235,260280,kPa,44696019.83914553,17244669.76057613,260280,kPa,-27139.730623356998,0.9993931615993942,-927509.1351381056,0.9489599381306525,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID077_LOC_RC016016-5.00x5.00-Modulus_Backward-251102-CRO_3634df40.tiff,15,15,gwyddion_only,41184226.594773956,10628969.532753153,262144,kPa,41184226.59477431,10628969.532753011,262144,kPa,3.5762786865234375e-07,1.0000000000000087,-1.4156103134155273e-07,0.9999999999999867,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID078_LOC_RC016017-5.00x5.00-Modulus_Backward-251102-CRO_91b19784.tiff,15,16,gwyddion_only,152767417.30751285,32329186.046508476,259855,kPa,152736938.43417406,31636597.786246818,259855,kPa,-30478.873338788748,0.9998004883902866,-692588.2602616586,0.9785769966721306,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID079_LOC_RC016021-5.00x5.00-Modulus_Backward-251102-CRO_8280eede.tiff,15,20,gwyddion_only,36642101.37230597,17959742.51296575,257200,kPa,36636784.16090551,17756177.206010964,257200,kPa,-5317.211400456727,0.999854887923964,-203565.30695478618,0.9886654662889612,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID080_LOC_RC017001-5.00x5.00-Modulus_Backward-251102-CRO_18ee99bd.tiff,16,0,gwyddion_only,228772825.13017055,111405232.09379852,246961,kPa,226034558.29890844,64114485.079741515,246961,kPa,-2738266.8312621117,0.9880306289450941,-47290747.014057,0.5755069476966739,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID081_LOC_RC017005-5.00x5.00-Modulus_Backward-251102-CRO_0f2f14a7.tiff,16,4,gwyddion_only,4412418207.623197,337671899.64772713,302,kPa,505027097.9036455,280372406.890887,302,kPa,-3907391109.719551,0.11445585484873715,-57299492.75684011,0.8303101536828583,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID082_LOC_RC017006-5.00x5.00-Modulus_Backward-251102-CRO_6646514c.tiff,16,5,gwyddion_only,59656276.92234309,49443910.07575286,247415,kPa,58989506.773647666,32196107.7946442,247415,kPa,-666770.1486954242,0.9888231350816045,-17247802.281108662,0.6511642737258571,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID083_LOC_RC017016-5.00x5.00-Modulus_Backward-251102-CRO_97bc69ab.tiff,16,15,gwyddion_only,627072732.3432803,153648141.43366846,256466,kPa,623216580.1620456,94543044.6863165,256466,kPa,-3856152.1812347174,0.9938505503710473,-59105096.74735196,0.6153217592100308,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID084_LOC_RC017017-5.00x5.00-Modulus_Backward-251102-CRO_fde8ffd4.tiff,16,16,gwyddion_only,29433615.584036253,16077925.347133853,261180,kPa,29433615.58403606,16077925.347133603,261180,kPa,-1.9371509552001953e-07,0.9999999999999934,-2.4959444999694824e-07,0.9999999999999845,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID085_LOC_RC017021-5.00x5.00-Modulus_Backward-251102-CRO_0cd31c1b.tiff,16,20,gwyddion_only,136299961.4202167,60614012.17863528,251229,kPa,135777377.05418643,49008395.63192381,251229,kPa,-522584.3660302758,0.9961659243290676,-11605616.546711467,0.8085324477035342,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID086_LOC_RC019008-5.00x5.00-Modulus_Backward-251102-CRO_01de43bd.tiff,18,7,gwyddion_only,63505926.88267089,44909963.4481688,252721,kPa,63197465.19604338,35659175.8531447,252721,kPa,-308461.6866275072,0.9951427889998772,-9250787.595024101,0.7940148046279182,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID087_LOC_RC019014-5.00x5.00-Modulus_Backward-251102-CRO_d5cfba62.tiff,18,13,gwyddion_only,35615385.86562051,26144356.792800326,253885,kPa,35457961.43567032,20521422.755208846,253885,kPa,-157424.42995018512,0.9955798757721127,-5622934.03759148,0.7849274288078897,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID088_LOC_RC020001-5.00x5.00-Modulus_Backward-251102-CRO_230075e7.tiff,19,0,gwyddion_only,1056714034.7699623,347675578.96206725,67036,kPa,817657438.3750927,210074386.58504736,67036,kPa,-239056596.39486957,0.7737736146876196,-137601192.37701988,0.6042253160610033,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID089_LOC_RC020002-5.00x5.00-Modulus_Backward-251102-CRO_db04b8f4.tiff,19,1,gwyddion_only,170648387.468695,40516794.715376556,257328,kPa,170469343.36592233,37308460.48825418,257328,kPa,-179044.1027726829,0.998950801086207,-3208334.227122374,0.9208147078350999,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID090_LOC_RC020010-5.00x5.00-Modulus_Backward-251103-CRO_fa35efcd.tiff,19,9,gwyddion_only,12453783189.602596,1077519350.0066085,264,kPa,587233108.3275771,276455235.1411347,264,kPa,-11866550081.275019,0.04715298952834234,-801064114.8654737,0.25656637640840435,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID091_LOC_RC020011-5.00x5.00-Modulus_Backward-251103-CRO_d9f042dd.tiff,19,10,gwyddion_only,290702848.6101943,103658431.18476112,250027,kPa,288162803.6342777,85482232.82482333,250027,kPa,-2540044.975916624,0.991262400805289,-18176198.359937787,0.8246529669396552,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID092_LOC_RC020012-5.00x5.00-Modulus_Backward-251103-CRO_edff3c04.tiff,19,11,gwyddion_only,101235465.32151735,108066319.70575444,247698,kPa,98190508.14780223,48823401.26299693,247698,kPa,-3044957.1737151146,0.969922031137561,-59242918.44275752,0.4517910982435087,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID093_LOC_RC020020-5.00x5.00-Modulus_Backward-251103-CRO_43b5d981.tiff,19,19,gwyddion_only,90236297.91046707,34831047.08425586,248405,kPa,90032507.20444342,30413439.74549028,248405,kPa,-203790.70602364838,0.9977415883547677,-4417607.33876558,0.8731704123600004,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID094_LOC_RC020021-5.00x5.00-Modulus_Backward-251103-CRO_f999aea1.tiff,19,20,gwyddion_only,370198169.88698107,80963924.21279638,255583,kPa,369135758.7770275,73282797.1039461,255583,kPa,-1062411.1099535823,0.9971301556939681,-7681127.1088502705,0.9051290166140902,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID095_LOC_RC021001-5.00x5.00-Modulus_Backward-251103-CRO_3886dac5.tiff,20,0,gwyddion_only,1791236573.806309,126786878.94949695,484,kPa,688867641.2857827,336098358.04149497,484,kPa,-1102368932.5205264,0.3845765832158984,209311479.091998,2.6508922754962136,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID096_LOC_RC021002-5.00x5.00-Modulus_Backward-251103-CRO_7910925f.tiff,20,1,gwyddion_only,1275130578.6087134,1265809045.6055684,33978,kPa,724200302.264918,239989527.84070024,33978,kPa,-550930276.3437954,0.567942071513247,-1025819517.7648681,0.18959378483970957,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID097_LOC_RC021005-5.00x5.00-Modulus_Backward-251103-CRO_977d0d19.tiff,20,4,gwyddion_only,1223500940.464193,593811535.3485435,10881,kPa,721652167.2984515,250877605.34746906,10881,kPa,-501848773.16574156,0.5898255926347377,-342933930.00107443,0.4224869178403784,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID098_LOC_RC021006-5.00x5.00-Modulus_Backward-251103-CRO_224461c7.tiff,20,5,gwyddion_only,371560451.4154126,54147690.006242536,256639,kPa,371207509.1583946,50727447.4866431,256639,kPa,-352942.2570180297,0.9990501081165298,-3420242.5195994377,0.9368349320311702,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID099_LOC_RC021010-5.00x5.00-Modulus_Backward-251103-CRO_7968f355.tiff,20,9,gwyddion_only,1226465061.1037033,185300715.4145811,5027,kPa,743810607.4629864,232182554.75560957,5027,kPa,-482654453.6407169,0.6064670173267119,46881839.34102848,1.2530040924889996,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID100_LOC_RC021011-5.00x5.00-Modulus_Backward-251103-CRO_48a14019.tiff,20,10,gwyddion_only,112195502.50472084,57229593.16551321,247578,kPa,111252027.9897622,41788495.27499542,247578,kPa,-943474.514958635,0.9915907991506261,-15441097.890517794,0.7301903257312921,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID101_LOC_RC021012-5.00x5.00-Modulus_Backward-251103-CRO_736e0c21.tiff,20,11,gwyddion_only,364857714.4302563,154177179.3684431,250517,kPa,357406567.14974815,79022674.53020477,250517,kPa,-7451147.280508161,0.9795779368619257,-75154504.83823833,0.5125445597974085,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID102_LOC_RC021016-5.00x5.00-Modulus_Backward-251103-CRO_02c0dbcb.tiff,20,15,gwyddion_only,47188537.215458855,31199205.11258753,252154,kPa,47064889.40166258,27805620.679658268,252154,kPa,-123647.81379627436,0.9973797065751009,-3393584.4329292625,0.891228496986287,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID103_LOC_RC021017-5.00x5.00-Modulus_Backward-251104-CRO_fa16fa19.tiff,20,16,gwyddion_only,114122476.15498342,18148681.87861897,262143,kPa,114118773.60286003,18049437.84579872,262143,kPa,-3702.5521233826876,0.999967556328533,-99244.03282025084,0.994531612076072,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID104_LOC_RC021020-5.00x5.00-Modulus_Backward-251104-CRO_ef9cdeea.tiff,20,19,gwyddion_only,35270408.31611135,5831198.599582347,262144,kPa,35270408.31611245,5831198.599582467,262144,kPa,1.1026859283447266e-06,1.0000000000000313,1.2014061212539673e-07,1.0000000000000207,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID105_LOC_RC021021-5.00x5.00-Modulus_Backward-251104-CRO_c2c78834.tiff,20,20,gwyddion_only,45044509.72418471,24632142.131640214,253002,kPa,45002511.96373727,21197369.97568595,253002,kPa,-41997.76044743508,0.9990676386377697,-3434772.155954264,0.8605573101357569,0,1.0
