source_file,method,avg_value,std_value,n_valid,units,avg_baseline,std_baseline,n_valid_baseline,delta_avg,delta_std,delta_n_valid
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO_b28496ed.tiff,backward_methods,439092598.2961488,82948327.75545523,248309,kPa,461329662.4886299,316596842.0228053,248309,-22237064.1924811,-233648514.26735005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO_ed44e1e6.tiff,backward_methods,239665956.7357143,59830585.62755706,251530,kPa,243772452.92408404,103050421.85317595,251530,-4106496.188369751,-43219836.22561889,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Backward-251020-CRO_70406af4.tiff,backward_methods,218471673.51044297,39448673.3884625,254447,kPa,219606233.12040418,81439532.04843561,254447,-1134559.6099612117,-41990858.659973115,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Backward-251022-CRO_7bbf51d1.tiff,backward_methods,38636207.76356273,22975495.25453329,260116,kPa,38665880.4842709,23680059.89118217,260116,-29672.720708169043,-704564.6366488785,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Backward-251022-CRO_f4227f94.tiff,backward_methods,186082926.60752907,30463309.367491648,259388,kPa,190172115.17819604,132557351.94491833,259388,-4089188.570666969,-102094042.57742669,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Backward-251022-CRO_db9df3ac.tiff,backward_methods,37934747.39273658,11872192.642251771,261824,kPa,37934747.39273153,11872192.642251823,261824,5.044043064117432e-06,-5.21540641784668e-08,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Backward-251027-CRO_c131d681.tiff,backward_methods,796869733.6450185,40164439.685631715,259442,kPa,799152334.5658671,51919423.70674996,259442,-2282600.920848608,-11754984.021118246,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Backward-251027-CRO_e03beb00.tiff,backward_methods,413907672.92534906,56019502.21945955,259236,kPa,414826761.0015459,65546866.879461706,259236,-919088.0761968493,-9527364.660002157,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Backward-251027-CRO_f614ff0f.tiff,backward_methods,401211279.01145566,50998590.68738048,259979,kPa,402077019.8471838,60786257.82286129,259979,-865740.8357281685,-9787667.135480814,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Backward-251027-CRO_132e35ef.tiff,backward_methods,,,0,kPa,,,0,,,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID009_LOC_RC001017-5.00x5.00-Modulus_Backward-251027-CRO_b6d95952.tiff,backward_methods,46446726.72593707,27511012.13896057,256933,kPa,46584977.063463815,33415876.239848003,256933,-138250.3375267461,-5904864.100887433,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID010_LOC_RC001020-5.00x5.00-Modulus_Backward-251027-CRO_5ee6b084.tiff,backward_methods,66437416.15828072,32192741.154194128,252892,kPa,66715122.77253098,38351986.95138783,252892,-277706.6142502576,-6159245.797193702,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID011_LOC_RC001021-5.00x5.00-Modulus_Backward-251027-CRO_1a1d5848.tiff,backward_methods,570033400.9100715,274411962.40394616,1534,kPa,2756309485.349634,499955774.57489794,1534,-2186276084.439563,-225543812.17095178,0
