source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID001_LOC_RC001001-5.00x5.00-Z Height_Forward-251001-CRO_ba51b389.tiff,particle_count_align_flatten_fixed0,particle_count,1,17,1,1,474.34334554031176,0.0,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID002_LOC_RC001002-5.00x5.00-Z Height_Forward-251001-CRO_193472e3.tiff,particle_count_align_flatten_fixed0,particle_count,0,25,0,0,0.0,0.0,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,0,1
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,particle_count_align_flatten_fixed0,particle_count,4,23,4,2,425.8393832973242,61.926061808240945,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,0,4
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,particle_count_align_flatten_fixed0,particle_count,2,21,2,2,508.4963784477587,2.6864258860063615,0.0,fixed(threshold_fixed),1,350.0,550.0,900.0,512,512,0,5
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,particle_count_align_flatten_fixed0,particle_count,2,25,2,2,466.31215260797535,80.00651678874374,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,0,9
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,particle_count_align_flatten_fixed0,particle_count,0,75,0,0,0.0,0.0,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,0,10
PEGDA01TPO10SiNPSam02_S2_P__GrID007_LOC_RC001012-5.00x5.00-Z Height_Forward-251001-CRO_d81f5c11.tiff,particle_count_align_flatten_fixed0,particle_count,1,161,1,1,373.52108032362395,0.0,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,0,11
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,particle_count_align_flatten_fixed0,particle_count,1,15,1,1,359.9459674118659,0.0,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,0,19
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,particle_count_align_flatten_fixed0,particle_count,0,13,0,0,0.0,0.0,0.0,fixed(threshold_fixed),1,350.0,550.0,900.0,512,512,0,20
PEGDA01TPO10SiNPSam02_S2_P__GrID010_LOC_RC002001-5.00x5.00-Z Height_Forward-251001-CRO_6df84bcd.tiff,particle_count_align_flatten_fixed0,particle_count,0,3,0,0,0.0,0.0,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,1,0
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,particle_count_align_flatten_fixed0,particle_count,0,37,0,0,0.0,0.0,0.0,fixed(threshold_fixed),0,350.0,550.0,900.0,512,512,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,particle_count_align_flatten_fixed0,particle_count,1,82,1,1,381.24326294096176,0.0,0.0,fixed(threshold_fixed),1,350.0,550.0,900.0,512,512,1,9
