source_file,method,avg_value,std_value,n_valid,units,avg_baseline,std_baseline,n_valid_baseline,delta_avg,delta_std,delta_n_valid
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Forward-251022-CRO_e2bf8848.tiff,raw_chauvenet,37212245.37439353,7393786.962516296,259398,kPa,37989208.882947944,11937580.391055679,261605,-776963.5085544139,-4543793.428539383,-2207
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Forward-251022-CRO_e2bf8848.tiff,raw_minmax,37989208.88293958,11937580.391055627,261605,kPa,37989208.882947944,11937580.391055679,261605,-8.367002010345459e-06,-5.21540641784668e-08,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Forward-251022-CRO_e2bf8848.tiff,raw_three_sigma,36818239.94594345,5958889.247672171,257124,kPa,37989208.882947944,11937580.391055679,261605,-1170968.9370044917,-5978691.143383508,-4481
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Forward-251027-CRO_3bd306b4.tiff,gwy_ops_py_stats,311266356.6510433,41452745.52615134,260532,kPa,313243032.4427837,92822967.28209752,260532,-1976675.7917404175,-51370221.75594618,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Forward-251027-CRO_3bd306b4.tiff,raw_chauvenet,311266356.6510433,41452745.52615134,260532,kPa,313243032.4427837,92822967.28209752,260532,-1976675.7917404175,-51370221.75594618,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Forward-251027-CRO_3bd306b4.tiff,raw_minmax,311266356.6510433,41452745.52615134,260532,kPa,313243032.4427837,92822967.28209752,260532,-1976675.7917404175,-51370221.75594618,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Forward-251027-CRO_3bd306b4.tiff,raw_three_sigma,311266356.6510433,41452745.52615134,260532,kPa,313243032.4427837,92822967.28209752,260532,-1976675.7917404175,-51370221.75594618,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Forward-251027-CRO_6ddca865.tiff,gwy_ops_py_stats,324658798.6083881,58989769.21996826,256591,kPa,325190574.7660439,64340815.03378484,256591,-531776.1576557755,-5351045.813816577,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Forward-251027-CRO_6ddca865.tiff,raw_chauvenet,324252520.54881245,56975853.2514354,256410,kPa,325190574.7660439,64340815.03378484,256591,-938054.2172314525,-7364961.7823494375,-181
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Forward-251027-CRO_6ddca865.tiff,raw_minmax,324658798.6083881,58989769.21996826,256591,kPa,325190574.7660439,64340815.03378484,256591,-531776.1576557755,-5351045.813816577,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Forward-251027-CRO_6ddca865.tiff,raw_three_sigma,323394627.0661345,54001597.13307856,255840,kPa,325190574.7660439,64340815.03378484,256591,-1795947.699909389,-10339217.900706276,-751
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Forward-251027-CRO_55d101ce.tiff,gwy_ops_py_stats,109222821.761382,35388785.54598759,253816,kPa,109599484.57691438,43814402.95610814,253816,-376662.8155323863,-8425617.410120547,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Forward-251027-CRO_55d101ce.tiff,raw_chauvenet,108477731.07784918,28724596.759865806,253469,kPa,109599484.57691438,43814402.95610814,253816,-1121753.4990652055,-15089806.196242332,-347
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Forward-251027-CRO_55d101ce.tiff,raw_minmax,109222821.761382,35388785.54598759,253816,kPa,109599484.57691438,43814402.95610814,253816,-376662.8155323863,-8425617.410120547,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Forward-251027-CRO_55d101ce.tiff,raw_three_sigma,107940722.64162537,25673454.396585427,253024,kPa,109599484.57691438,43814402.95610814,253816,-1658761.9352890104,-18140948.55952271,-792
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Forward-251027-CRO_d4be9843.tiff,gwy_ops_py_stats,581700280.6933371,281476678.2890068,8378,kPa,1344416694.4796703,162019886.9927789,8378,-762716413.7863332,119456791.29622793,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Forward-251027-CRO_d4be9843.tiff,raw_chauvenet,581700280.6933371,281476678.2890068,8378,kPa,1344416694.4796703,162019886.9927789,8378,-762716413.7863332,119456791.29622793,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Forward-251027-CRO_d4be9843.tiff,raw_minmax,581700280.6933371,281476678.2890068,8378,kPa,1344416694.4796703,162019886.9927789,8378,-762716413.7863332,119456791.29622793,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Forward-251027-CRO_d4be9843.tiff,raw_three_sigma,581700280.6933371,281476678.2890068,8378,kPa,1344416694.4796703,162019886.9927789,8378,-762716413.7863332,119456791.29622793,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID009_LOC_RC001017-5.00x5.00-Modulus_Forward-251027-CRO_4abe3562.tiff,gwy_ops_py_stats,53539263.222624294,30252810.829438858,257690,kPa,54610108.92998969,50015134.63422422,257690,-1070845.7073653936,-19762323.804785363,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID009_LOC_RC001017-5.00x5.00-Modulus_Forward-251027-CRO_4abe3562.tiff,raw_chauvenet,52952414.59297333,22877613.71467996,257455,kPa,54610108.92998969,50015134.63422422,257690,-1657694.337016359,-27137520.91954426,-235
PEGDA01TPO000SiNP_Sam01_S1_P__GrID009_LOC_RC001017-5.00x5.00-Modulus_Forward-251027-CRO_4abe3562.tiff,raw_minmax,53539263.222624294,30252810.829438858,257690,kPa,54610108.92998969,50015134.63422422,257690,-1070845.7073653936,-19762323.804785363,0
