source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001001-5.00x5.00-Modulus_Forward-251020-CRO_15528fe2.tiff,Modulus,Forward,2,251020,modulus_raw_three_sigma,modulus,49255236.65510897,19300555.377738185,kPa,249237,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Forward-251021-CRO_42cadbb7.tiff,Modulus,Forward,0,251021,modulus_raw_three_sigma,modulus,202433073.66020134,75354443.76373321,kPa,242148,0,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Forward-251021-CRO_699a7ca0.tiff,Modulus,Forward,1,251021,modulus_raw_three_sigma,modulus,103776964.38686843,44410662.48601801,kPa,244309,0,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001005-5.00x5.00-Modulus_Forward-251022-CRO_5dfb071f.tiff,Modulus,Forward,2,251022,modulus_raw_three_sigma,modulus,36467663.63520068,12716137.77171544,kPa,255030,0,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID003_LOC_RC001006-5.00x5.00-Modulus_Forward-251022-CRO_92313101.tiff,Modulus,Forward,3,251022,modulus_raw_three_sigma,modulus,48700057.23950462,18247981.130739473,kPa,250498,0,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID004_LOC_RC001010-5.00x5.00-Modulus_Forward-251022-CRO_e2bf8848.tiff,Modulus,Forward,4,251022,modulus_raw_three_sigma,modulus,36818239.94594345,5958889.247672171,kPa,257124,0,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID005_LOC_RC001010-5.00x5.00-Modulus_Forward-251027-CRO_3bd306b4.tiff,Modulus,Forward,5,251027,modulus_raw_three_sigma,modulus,311266356.6510433,41452745.52615134,kPa,260532,0,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID006_LOC_RC001011-5.00x5.00-Modulus_Forward-251027-CRO_6ddca865.tiff,Modulus,Forward,6,251027,modulus_raw_three_sigma,modulus,323394627.0661345,54001597.13307856,kPa,255840,0,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID007_LOC_RC001012-5.00x5.00-Modulus_Forward-251027-CRO_55d101ce.tiff,Modulus,Forward,7,251027,modulus_raw_three_sigma,modulus,107940722.64162537,25673454.396585427,kPa,253024,0,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID008_LOC_RC001016-5.00x5.00-Modulus_Forward-251027-CRO_d4be9843.tiff,Modulus,Forward,8,251027,modulus_raw_three_sigma,modulus,581700280.6933371,281476678.2890068,kPa,8378,0,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID009_LOC_RC001017-5.00x5.00-Modulus_Forward-251027-CRO_4abe3562.tiff,Modulus,Forward,9,251027,modulus_raw_three_sigma,modulus,52606324.58402642,19750576.277782064,kPa,257219,0,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID010_LOC_RC001020-5.00x5.00-Modulus_Forward-251027-CRO_7cf2b3a6.tiff,Modulus,Forward,10,251027,modulus_raw_three_sigma,modulus,75126926.54363431,26983350.114301596,kPa,251979,0,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID011_LOC_RC001021-5.00x5.00-Modulus_Forward-251027-CRO_ceef7a05.tiff,Modulus,Forward,11,251027,modulus_raw_three_sigma,modulus,453918316.6640968,67850040.63959137,kPa,245819,0,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID012_LOC_RC002001-5.00x5.00-Modulus_Forward-251028-CRO_87e12f62.tiff,Modulus,Forward,12,251028,modulus_raw_three_sigma,modulus,37301913.75980776,5970189.06424329,kPa,259261,1,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID013_LOC_RC002002-5.00x5.00-Modulus_Forward-251028-CRO_a79b35c8.tiff,Modulus,Forward,13,251028,modulus_raw_three_sigma,modulus,132507015.33354323,31346770.41112509,kPa,251697,1,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID014_LOC_RC002010-5.00x5.00-Modulus_Forward-251028-CRO_2fbca0a7.tiff,Modulus,Forward,14,251028,modulus_raw_three_sigma,modulus,595691153.5909961,275702073.4638554,kPa,5319,1,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID015_LOC_RC002011-5.00x5.00-Modulus_Forward-251028-CRO_6d836729.tiff,Modulus,Forward,15,251028,modulus_raw_three_sigma,modulus,36355739.09423528,7859212.507599972,kPa,258198,1,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID016_LOC_RC002012-5.00x5.00-Modulus_Forward-251028-CRO_8b05cb45.tiff,Modulus,Forward,16,251028,modulus_raw_three_sigma,modulus,62076784.08358706,16406244.878171066,kPa,254331,1,11
